exchange,market,time,kind,gate,split,entry,gross_180,gross_300,gross_460,gross_600,gross_900,gross_1200,gross_1800,mfe600,mae600
binance,LAUSDT,2026-08-19T04:09:19.269000+00:00,SINGLE_GATE_FAIL,m1_prebreakout_setup_not_ready,train,0.0554,-0.7220216606498187,-0.9025270758122761,-0.3610108303249038,-1.0830324909747224,1.8050541516245522,1.8050541516245522,2.166064981949467,0.18050541516245744,-1.0830324909747224
binance,PUMPUSDT,2026-08-19T04:09:19.269000+00:00,SINGLE_GATE_FAIL,m1_prebreakout_setup_not_ready,train,0.003022,-0.06618133686300265,0.03309066843151243,-0.06618133686300265,-0.033090668431501324,0.2647253474520328,0.03309066843151243,-0.1323626737260164,0.09927200529451508,-0.19854401058900795
binance,PROMUSDT,2026-08-19T04:09:19.270000+00:00,SINGLE_GATE_FAIL,m1_prebreakout_setup_not_ready,train,1.997,-0.20030045067601643,-1.1016524787180737,-1.1517275913870861,-1.402103154732104,-1.6024036054081092,-1.7526289434151243,-1.6024036054081092,0.20030045067600533,-1.552328492739119
binance,METUSDT,2026-08-19T04:11:43.951000+00:00,SINGLE_GATE_FAIL,m1_prebreakout_setup_not_ready,train,0.175,-0.05714285714285561,-0.05714285714285561,0.28571428571428914,0.5714285714285783,0.5714285714285783,0.17142857142857792,0.05714285714286671,0.45714285714286707,-0.22857142857142243
binance,PUMPUSDT,2026-08-19T04:12:19.712000+00:00,SINGLE_GATE_FAIL,m1_prebreakout_setup_not_ready,train,0.00302,0.06622516556291647,0.03311258278144713,0.03311258278144713,0.26490066225164366,0.13245033112583293,0.03311258278144713,-0.13245033112583293,0.16556291390728006,-0.13245033112583293
binance,PROMUSDT,2026-08-19T04:12:19.712000+00:00,SINGLE_GATE_FAIL,m1_prebreakout_setup_not_ready,train,1.997,-0.9013520280420684,-1.3520280420631026,-1.402103154732104,-1.702553830746123,-1.4521782674011052,-2.0530796194291545,-1.2518778167250888,0.0,-1.6024036054081092
binance,KAITOUSDT,2026-08-19T04:14:44.490000+00:00,SINGLE_GATE_FAIL,m1_prebreakout_setup_not_ready,train,0.3416,0.05854800936766491,0.8196721311475308,0.6440281030444917,1.1124121779859442,0.9953161592505699,0.9953161592505699,0.49765807962529607,1.1124121779859442,-0.2049180327868938
binance,PUMPUSDT,2026-08-19T04:15:55.558000+00:00,SINGLE_GATE_FAIL,m1_prebreakout_setup_not_ready,train,0.003024,-0.1984126984127088,-0.03306878306879035,0.23148148148146586,-0.09920634920635996,-0.16534391534391846,-0.1984126984127088,-0.3968253968254065,0.2645502645502562,-0.2645502645502673
binance,LAUSDT,2026-08-19T04:16:28.800000+00:00,SINGLE_GATE_FAIL,m1_prebreakout_setup_not_ready,train,0.0551,-0.5444646098003658,-0.7259528130671544,2.3593466424682408,2.722323049001796,2.3593466424682408,1.9963702359346636,2.177858439201441,3.085299455535395,-0.907441016333943
binance,EPICUSDT,2026-08-19T04:17:43.309000+00:00,SINGLE_GATE_FAIL,m1_prebreakout_setup_not_ready,train,0.362,0.08287292817679148,-0.35911602209943716,-0.8287292817679592,-1.0497237569060736,-1.1602209944751363,-1.4917127071823244,-1.6298342541436361,0.11049723756906271,-0.939226519337022
