BULL	V2_BULL_MOM_M1.25_V1_R60	TEST	587	256	43.61	3950.15	-1332.85	1.1051	6.729	181.549	-164.863	5.802	94.55	0.3353	160.820	67.54	628.14
BULL	V2_BULL_MOM_M1.25_V1.25_R55	TEST	471	203	43.10	2692.13	-1546.87	1.0923	5.716	177.366	-176.031	5.828	92.57	0.3335	157.650	53.83	681.61
BULL	V2_BULL_MOM_M1.25_V1.25_R60	TEST	425	185	43.53	3033.32	-791.68	1.1145	7.137	179.505	-178.278	5.767	94.12	0.3370	158.368	49.18	681.61
BULL	V2_BULL_COMP_C0.65_V1.1	TRAIN	68	14	20.59	-3003.81	-3615.81	0.3610	-44.174	112.640	-93.082	4.603	94.12	0.2433	142.813	8.97	509.79
BULL	V2_BULL_COMP_C0.65_V1.4	TRAIN	51	12	23.53	-2279.70	-2738.70	0.3866	-44.700	132.789	-101.625	4.412	94.12	0.2445	163.489	7.09	450.52
BULL	V2_BULL_COMP_C0.8_V1.1	TRAIN	79	19	24.05	-3088.98	-3799.98	0.4087	-39.101	116.467	-90.410	4.532	94.94	0.2540	141.568	9.97	509.79
BULL	V2_BULL_COMP_C0.8_V1.4	TRAIN	60	16	26.67	-2434.49	-2974.49	0.4160	-40.575	134.602	-97.579	4.367	95.00	0.2396	161.177	7.95	450.52
BULL	V2_BULL_MOM_M0.75_V1_R55	TRAIN	282	80	28.37	-7868.94	-10406.94	0.5692	-27.904	121.243	-105.342	5.316	90.07	0.2752	135.147	34.22	1056.22
BULL	V2_BULL_MOM_M0.75_V1_R60	TRAIN	235	72	30.64	-6004.00	-8119.00	0.5877	-25.549	120.919	-101.825	5.268	91.49	0.2712	132.468	27.19	1056.22
BULL	V2_BULL_MOM_M0.75_V1.25_R55	TRAIN	211	64	30.33	-6177.68	-8076.68	0.5071	-29.278	116.640	-95.568	5.076	91.47	0.2596	131.918	23.80	527.46
BULL	V2_BULL_MOM_M0.75_V1.25_R60	TRAIN	179	58	32.40	-4942.89	-6553.89	0.4923	-27.614	110.649	-92.313	5.011	92.74	0.2613	124.263	18.47	527.46
BULL	V2_BULL_MOM_M1_V1_R55	TRAIN	233	63	27.04	-8846.92	-10943.92	0.3984	-37.970	105.684	-100.325	5.180	90.99	0.2590	129.654	27.50	741.91
BULL	V2_BULL_MOM_M1_V1_R60	TRAIN	197	58	29.44	-6983.26	-8756.26	0.4279	-35.448	107.760	-100.249	5.066	93.40	0.2604	129.208	22.74	606.71
BULL	V2_BULL_MOM_M1_V1.25_R55	TRAIN	175	52	29.71	-5941.01	-7516.01	0.4392	-33.949	108.824	-96.626	5.023	92.57	0.2632	128.773	20.15	650.64
BULL	V2_BULL_MOM_M1_V1.25_R60	TRAIN	149	48	32.21	-4054.03	-5395.03	0.5135	-27.208	110.827	-93.808	4.953	95.30	0.2735	124.035	15.84	527.46
BULL	V2_BULL_MOM_M1.25_V1_R55	TRAIN	170	41	24.12	-6209.49	-7739.49	0.4067	-36.526	104.770	-96.136	5.188	89.41	0.2478	127.297	19.93	527.46
BULL	V2_BULL_MOM_M1.25_V1_R60	TRAIN	142	37	26.06	-4716.79	-5994.79	0.4567	-33.217	109.716	-98.405	5.056	92.96	0.2538	128.933	16.52	527.46
BULL	V2_BULL_MOM_M1.25_V1.25_R55	TRAIN	134	38	28.36	-4184.53	-5390.53	0.4785	-31.228	118.603	-98.859	5.231	90.30	0.2532	135.831	15.27	527.46
BULL	V2_BULL_MOM_M1.25_V1.25_R60	TRAIN	113	34	30.09	-2951.41	-3968.41	0.5400	-26.119	121.548	-97.640	5.071	93.81	0.2562	133.666	12.20	527.46
RANGE	V2_RANGE_CYCLE_S15_A18_T0.6	TEST	122	63	51.64	-211.88	-1309.88	0.9319	-1.737	63.577	-53.161	2.148	67.21	0.4833	51.313	5.94	205.06
RANGE	V2_RANGE_CYCLE_S15_A18_T0.9	TEST	75	32	42.67	-288.81	-963.81	0.8604	-3.851	63.013	-51.887	1.933	74.67	0.4392	52.864	3.95	163.76
RANGE	V2_RANGE_CYCLE_S15_A22_T0.6	TEST	279	139	49.82	-1888.21	-4399.21	0.7792	-6.768	64.000	-61.733	2.222	68.46	0.4860	56.768	16.09	309.14
RANGE	V2_RANGE_CYCLE_S15_A22_T0.9	TEST	188	85	45.21	-486.10	-2178.10	0.9093	-2.586	66.708	-59.782	2.080	72.87	0.4538	55.294	10.20	216.77
RANGE	V2_RANGE_CYCLE_S25_A18_T0.6	TEST	168	83	49.40	-1242.98	-2754.98	0.7352	-7.399	60.214	-55.890	2.179	69.64	0.4588	53.613	8.77	205.06
RANGE	V2_RANGE_CYCLE_S25_A18_T0.9	TEST	95	34	35.79	-796.57	-1651.57	0.6934	-8.385	57.747	-53.213	2.032	78.95	0.3975	52.132	4.96	163.76
