cohort_role,position_id,symbol,side,ownership,decision_at,exchange_entry_fill_at,db_entry_at,entry_time_source,exit_fill_or_close_at,entry_price,exit_price,quantity,gross_price_pnl_usdt,settled_net_pnl_usdt,price_to_settlement_difference_usdt,known_entry_fee_usdt,known_exit_fee_usdt,known_fee_sum_usdt,residual_after_known_fees_usdt,funding_cashflow_usdt,funding_coverage,exit_reason,executor_patch,entry_policy_version,exit_policy_version,qv3_policy_version,entry_order_client_id,entry_exchange_order_id
FIXED_210,594cba3b-b359-47e2-bf21-bd0e8df2b538,ARKUSDT,LONG,AUTO_LEADER_MOMENTUM_V17_COHORT,2026-09-13 07:30:09.321521+00,2026-09-13T07:30:09.930Z,2026-09-13T07:30:11.237Z,RAW_FILL_RECONSTRUCTED,2026-09-13T07:31:10.191Z,0.1895,0.1846,631,-3.0919,-3.20992855,0.11802855,0.05978725,0.0582413,0.11802855,0,,UNKNOWN_NOT_ZERO,V17_NATIVE_STOP,V21-POST-FILL-DRIFT-2,V21_POST_FILL_DRIFT_GUARD_1,V17_EXIT_R5_TAIL,QV3_ENTRY_EXIT_TWO_1,tb-v11e-21226b877b944e24b84020ba,
FIXED_210,3fc3e93f-44ff-4d09-90da-0836af362942,AVAUSDT,LONG,AUTO_LEADER_MOMENTUM_V17_COHORT,2026-09-13 07:31:10.711058+00,2026-09-13T07:31:11.539Z,2026-09-13T07:31:12.829Z,RAW_FILL_RECONSTRUCTED,2026-09-13T07:42:08.751Z,0.2018134298216089,0.2064868899360484,594.2,2.77697,2.65566399,0.12130601,0.05995877000000001,,,,,UNKNOWN_NOT_ZERO,QV3_TWO_BEARISH_CLOSED,V21-POST-FILL-DRIFT-2,V21_POST_FILL_DRIFT_GUARD_1,V17_EXIT_R5_TAIL,QV3_ENTRY_EXIT_TWO_1,tb-v11e-63416a0dfe4e4db8943f4296,
FIXED_210,30f8d76f-46e2-486f-a844-5140945dc06e,ARKUSDT,LONG,AUTO_LEADER_MOMENTUM_V17_COHORT,2026-09-13 08:46:09.01136+00,2026-09-13T08:46:09.614Z,2026-09-13T08:46:10.939Z,RAW_FILL_RECONSTRUCTED,2026-09-13T08:50:34.743Z,0.1743,0.1698,400,-1.8,-1.86881999,0.06881999,0.03486,0.03395999,0.06881999,0,,UNKNOWN_NOT_ZERO,V17_NATIVE_STOP,V21-POST-FILL-DRIFT-2,V21_POST_FILL_DRIFT_GUARD_1,V17_EXIT_R5_TAIL,QV3_ENTRY_EXIT_TWO_1,tb-v11e-bf3d6e215d46404a919dc4b0,
FIXED_210,d2460043-a596-4e9e-9c0f-94e1af5687f0,SAGAUSDT,LONG,AUTO_LEADER_MOMENTUM_V17_COHORT,2026-09-13 09:06:07.46974+00,2026-09-13T09:06:08.104Z,2026-09-13T09:06:09.455Z,RAW_FILL_RECONSTRUCTED,2026-09-13T09:12:10.284Z,0.019170000000000003,0.01921,6263.2,0.250528,0.13033723,0.12019077,0.060032739999999994,,,,,UNKNOWN_NOT_ZERO,QV3_TWO_BEARISH_CLOSED,V21-POST-FILL-DRIFT-2,V21_POST_FILL_DRIFT_GUARD_1,V17_EXIT_R5_TAIL,QV3_ENTRY_EXIT_TWO_1,tb-v11e-3cc59fe51617455bad5070fd,
FIXED_210,6320bad6-d86b-48be-bbdc-775a685ffcb6,STEEMUSDT,LONG,AUTO_LEADER_MOMENTUM_V17_COHORT,2026-09-13 09:15:08.639534+00,2026-09-13T09:15:09.244Z,2026-09-13T09:16:05.298Z,RAW_FILL_RECOVERED_IN_CURRENT_AUDIT,2026-09-13T09:16:54.109Z,0.07969,0.07769,1506,-3.012,-3.13050714,0.11850714,0.06000657,0.05850057,0.11850714,0,,UNKNOWN_NOT_ZERO,V17_NATIVE_STOP,V21-POST-FILL-DRIFT-2,V21_POST_FILL_DRIFT_GUARD_1,V17_EXIT_R5_TAIL,QV3_ENTRY_EXIT_TWO_1,tb-v11e-8fb7d0137aa245d381f97cd9,
FIXED_210,681aec00-81df-4fb2-8f55-d20320811210,POLYXUSDT,LONG,AUTO_LEADER_MOMENTUM_V17_COHORT,2026-09-13 10:45:08.833934+00,2026-09-13T10:45:09.468Z,2026-09-13T10:45:09.468Z,RAW_FILL_STAMP,2026-09-13T10:52:14.816Z,0.04189,0.04131484435117174,2859,-1.64437,-1.76331132,0.11894132,0.05988175,,,,,UNKNOWN_NOT_ZERO,QV3_TWO_BEARISH_CLOSED,V22-IMMEDIATE-ENTRY-PROTECTION-1,V21_POST_FILL_DRIFT_GUARD_1,V17_EXIT_R5_TAIL,QV3_ENTRY_EXIT_TWO_1,tb-v11e-a925127162af441eb3cd642b,
FIXED_210,69cdf212-34ca-4339-905d-5b32f356a4d3,龙虾USDT,LONG,AUTO_LEADER_MOMENTUM_V17_COHORT,2026-09-13 11:15:12.508642+00,2026-09-13T11:15:13.373Z,2026-09-13T11:15:13.373Z,RAW_FILL_STAMP,2026-09-13T11:25:09.761Z,0.15546327461139897,0.15530409067357517,772,-0.12289,-0.24284619,0.11995619,0.06000882,,,,,UNKNOWN_NOT_ZERO,QV3_TWO_BEARISH_CLOSED,V22-IMMEDIATE-ENTRY-PROTECTION-1,V21_POST_FILL_DRIFT_GUARD_1,V17_EXIT_R5_TAIL,QV3_ENTRY_EXIT_TWO_1,tb-v11e-6f8da117b8c2404293bd9b7f,
FIXED_210,104b3c79-7490-484f-a934-3228f9780591,FLOCKUSDT,LONG,AUTO_LEADER_MOMENTUM_V17_COHORT,2026-09-13 11:30:11.039236+00,2026-09-13T11:30:11.675Z,2026-09-13T11:30:11.675Z,RAW_FILL_STAMP,2026-09-13T11:37:07.839Z,0.08701456127628716,0.08702,1379,0.0075,-0.11249683,0.11999683,0.05999654,0.06000029,0.11999683,0,,UNKNOWN_NOT_ZERO,QV3_TWO_BEARISH_CLOSED,V22-IMMEDIATE-ENTRY-PROTECTION-1,V21_POST_FILL_DRIFT_GUARD_1,V17_EXIT_R5_TAIL,QV3_ENTRY_EXIT_TWO_1,tb-v11e-eb686174ba4c4ebd83fe69ce,
FIXED_210,f99c1d50-63c8-4ac9-bb81-0390660352b8,BTWUSDT,LONG,AUTO_LEADER_MOMENTUM_V17_COHORT,2026-09-13 11:46:09.986717+00,2026-09-13T11:46:10.611Z,2026-09-13T11:46:10.611Z,RAW_FILL_STAMP,2026-09-13T11:51:42.399Z,0.669814189944134,0.6655925139664804,179,-0.75568,-0.8751989,0.1195189,0.05994837,0.05957053,0.1195189,0,,UNKNOWN_NOT_ZERO,V17_NATIVE_STOP,V22-IMMEDIATE-ENTRY-PROTECTION-1,V21_POST_FILL_DRIFT_GUARD_1,V17_EXIT_R5_TAIL,QV3_ENTRY_EXIT_TWO_1,tb-v11e-3b54a6ffcae74b928f788ac9,
FIXED_210,7974d3fe-088b-4638-acaa-99467ff0ef94,ARKUSDT,LONG,AUTO_LEADER_MOMENTUM_V17_COHORT,2026-09-13 11:50:18.928335+00,2026-09-13T11:50:19.534Z,2026-09-13T11:50:19.534Z,RAW_FILL_STAMP,2026-09-13T11:52:44.390Z,0.1951,0.1926,616,-1.54,-1.6594116,0.1194116,0.0600908,0.0593208,0.1194116,0,,UNKNOWN_NOT_ZERO,V17_NATIVE_STOP,V22-IMMEDIATE-ENTRY-PROTECTION-1,V21_POST_FILL_DRIFT_GUARD_1,V17_EXIT_R5_TAIL,QV3_ENTRY_EXIT_TWO_1,tb-v11e-e53a8d108dd6405896793649,
FIXED_210,985525a5-89f7-4a81-90ac-71b93105a0c2,CVCUSDT,LONG,AUTO_LEADER_MOMENTUM_V17_COHORT,2026-09-13 12:10:13.238457+00,2026-09-13T12:10:13.849Z,2026-09-13T12:10:13.849Z,RAW_FILL_STAMP,2026-09-13T12:13:22.676Z,0.029445022080471055,0.029066879293424927,4076,-1.54131,-1.66055724,0.11924724,0.060008950000000005,0.05923829,0.11924724,0,,UNKNOWN_NOT_ZERO,V17_NATIVE_STOP,V22-IMMEDIATE-ENTRY-PROTECTION-1,V21_POST_FILL_DRIFT_GUARD_1,V17_EXIT_R5_TAIL,QV3_ENTRY_EXIT_TWO_1,tb-v11e-630102b6075a403fbd8217d4,
