cohort_role,position_id,symbol,signal_completed_at,decision_at,entry_request_at,entry_request_time_status,entry_fill_at,db_entry_at,entry_db_lag_ms,first_native_stop_submitted_at,first_native_stop_ack_at,fill_to_first_stop_ack_ms,last_observation_detected_at,last_quote_received_at,last_exchange_book_at,exit_trigger_or_close_at,exit_fill_at,settlement_at,settlement_time_status,final_native_actual_order_id,final_native_client_id,final_native_status
FIXED_210,d01e99e1-3f2d-4039-94c6-e66d0e65d19b,VETUSDT,2026-09-08T11:30:00.000Z,2026-09-08T11:31:03.024Z,,NOT_EXPORTED,2026-09-08T11:31:04.695Z,2026-09-08T11:31:05.164Z,469,,,,2026-09-08T12:25:02.384Z,2026-09-08T12:25:02.271Z,2026-09-08T12:25:01.305Z,2026-09-08T12:25:04.742Z,2026-09-08T12:25:04.742Z,,NOT_EXPORTED,,,
FIXED_210,9a9d9dba-db9f-4f1b-9936-1e0c58c0360e,AKEUSDT,2026-09-08T12:30:00.000Z,2026-09-08T12:31:02.697Z,,NOT_EXPORTED,2026-09-08T12:31:03.520Z,2026-09-08T12:31:03.998Z,478,,,,2026-09-08T13:22:02.914Z,2026-09-08T13:22:02.803Z,2026-09-08T13:22:02.283Z,2026-09-08T13:22:04.962Z,2026-09-08T13:22:04.962Z,,NOT_EXPORTED,,,
FIXED_210,8728055d-3228-4b99-b745-89195af1501a,USELESSUSDT,2026-09-08T14:05:00.000Z,2026-09-08T14:05:03.981Z,,NOT_EXPORTED,2026-09-08T14:05:04.638Z,2026-09-08T14:05:05.114Z,476,,,,2026-09-08T14:20:03.313Z,2026-09-08T14:20:03.200Z,2026-09-08T14:20:02.990Z,2026-09-08T14:20:05.956Z,2026-09-08T14:20:05.956Z,,NOT_EXPORTED,,,
FIXED_210,e3d9d506-4c5e-443b-b935-ee347c4fcc43,VVVUSDT,2026-09-08T14:25:00.000Z,2026-09-08T14:25:06.432Z,,NOT_EXPORTED,2026-09-08T14:25:07.260Z,2026-09-08T14:25:07.739Z,479,,,,2026-09-08T14:42:02.557Z,2026-09-08T14:42:02.447Z,2026-09-08T14:42:02.283Z,2026-09-08T14:42:04.413Z,2026-09-08T14:42:04.413Z,,NOT_EXPORTED,,,
FIXED_210,293822f2-1668-4387-b6c3-ddcb9b98c1ef,VVVUSDT,2026-09-08T14:50:00.000Z,2026-09-08T14:51:02.884Z,,NOT_EXPORTED,2026-09-08T14:51:03.900Z,2026-09-08T14:51:04.368Z,468,,,,2026-09-08T14:55:04.895Z,2026-09-08T14:55:04.783Z,2026-09-08T14:55:04.622Z,2026-09-08T14:55:06.810Z,2026-09-08T14:55:06.810Z,,NOT_EXPORTED,,,
FIXED_210,485b7a98-8010-4154-8f90-f45368f60a66,DOGSUSDT,2026-09-08T15:30:00.000Z,2026-09-08T15:31:03.498Z,,NOT_EXPORTED,2026-09-08T15:31:05.210Z,2026-09-08T15:31:05.679Z,469,,,,2026-09-08T16:13:02.618Z,2026-09-08T16:13:02.506Z,2026-09-08T16:13:02.338Z,2026-09-08T16:13:04.218Z,2026-09-08T16:13:04.218Z,,NOT_EXPORTED,,,
FIXED_210,807850cb-a1b9-4110-b7ac-b6d3b0a7a2b6,PONSUSDT,2026-09-08T16:15:00.000Z,2026-09-08T16:16:03.163Z,,NOT_EXPORTED,2026-09-08T16:16:04.388Z,2026-09-08T16:16:04.854Z,466,,,,2026-09-08T16:43:02.751Z,2026-09-08T16:43:02.633Z,2026-09-08T16:43:02.379Z,2026-09-08T16:43:04.400Z,2026-09-08T16:43:04.400Z,,NOT_EXPORTED,,,
FIXED_210,bbb92780-9700-4a87-891d-2ac27cade9db,BRUSDT,2026-09-08T16:45:00.000Z,2026-09-08T16:46:03.050Z,,NOT_EXPORTED,2026-09-08T16:46:04.464Z,2026-09-08T16:46:04.967Z,503,,,,2026-09-08T17:32:02.721Z,2026-09-08T17:32:02.609Z,2026-09-08T17:31:57.730Z,2026-09-08T17:32:04.929Z,2026-09-08T17:32:04.929Z,,NOT_EXPORTED,,,
FIXED_210,62dba0dc-51dd-4e9a-9c92-220088e7991a,GPSUSDT,2026-09-08T18:00:00.000Z,2026-09-08T18:00:09.120Z,,NOT_EXPORTED,2026-09-08T18:00:10.389Z,2026-09-08T18:00:11.291Z,902,,,,2026-09-08T18:46:02.663Z,2026-09-08T18:46:02.552Z,2026-09-08T18:46:01.795Z,2026-09-08T18:46:04.485Z,2026-09-08T18:46:04.485Z,,NOT_EXPORTED,,,
FIXED_210,c19553f5-1f29-496e-aee8-c97043135ea0,DOGSUSDT,2026-09-08T19:10:00.000Z,2026-09-08T19:11:03.033Z,,NOT_EXPORTED,2026-09-08T19:11:03.589Z,2026-09-08T19:11:04.060Z,471,,,,2026-09-08T19:31:02.827Z,2026-09-08T19:31:02.709Z,2026-09-08T19:31:02.431Z,2026-09-08T19:31:04.464Z,2026-09-08T19:31:04.464Z,,NOT_EXPORTED,,,
FIXED_210,146a8384-0752-4b42-9d83-239d70b0c4e2,DOTUSDT,2026-09-08T20:15:00.000Z,2026-09-08T20:16:03.372Z,,NOT_EXPORTED,2026-09-08T20:16:04.607Z,2026-09-08T20:16:05.075Z,468,,,,2026-09-08T20:49:04.264Z,2026-09-08T20:49:04.151Z,2026-09-08T20:49:03.941Z,2026-09-08T20:49:05.872Z,2026-09-08T20:49:05.872Z,,NOT_EXPORTED,,,
FIXED_210,512d82bc-43c0-4ad4-9aa1-a1f588e15220,RAYSOLUSDT,2026-09-08T21:00:00.000Z,2026-09-08T21:01:02.926Z,,NOT_EXPORTED,2026-09-08T21:01:03.727Z,2026-09-08T21:01:04.193Z,466,,,,2026-09-08T21:41:02.559Z,2026-09-08T21:41:02.447Z,2026-09-08T21:41:01.713Z,2026-09-08T21:41:04.557Z,2026-09-08T21:41:04.557Z,,NOT_EXPORTED,,,
FIXED_210,af68ee80-47cf-4bcb-9b5f-a14703ee2acf,EGLDUSDT,2026-09-08T22:00:00.000Z,2026-09-08T22:01:03.064Z,,NOT_EXPORTED,2026-09-08T22:01:04.751Z,2026-09-08T22:01:05.223Z,472,2026-09-08T23:45:05.418Z,2026-09-08T23:45:05.975Z,6241224,2026-09-08T23:52:02.463Z,2026-09-08T23:52:02.352Z,2026-09-08T23:52:01.603Z,2026-09-08T23:52:03.052Z,2026-09-08T23:52:03.052Z,,NOT_EXPORTED,9678930536,tb-v17s-adf82de90659d5e39ed9df7ad4a,FINISHED
FIXED_210,43c22eef-0f0a-4c63-94f4-7101bbdb1c07,FORMUSDT,2026-09-09T00:00:00.000Z,2026-09-09T00:01:02.830Z,,NOT_EXPORTED,2026-09-09T00:01:03.629Z,2026-09-09T00:01:04.102Z,473,2026-09-09T00:02:03.220Z,2026-09-09T00:02:03.796Z,60167,2026-09-09T00:14:02.502Z,2026-09-09T00:14:02.390Z,2026-09-09T00:14:02.039Z,2026-09-09T00:14:26.494Z,2026-09-09T00:14:26.494Z,,NOT_EXPORTED,1698443496,tb-v17s-8ce89cb9e75d4b9f008be695c41,FINISHED
FIXED_210,a3f63fca-805b-456d-a4b3-dbbb044c2c54,BRUSDT,2026-09-09T00:25:00.000Z,2026-09-09T00:26:02.884Z,,NOT_EXPORTED,2026-09-09T00:26:03.459Z,2026-09-09T00:26:03.923Z,464,2026-09-09T00:27:13.473Z,2026-09-09T00:27:14.062Z,70603,2026-09-09T01:41:02.452Z,2026-09-09T01:41:02.340Z,2026-09-09T01:40:53.831Z,2026-09-09T01:41:04.477Z,2026-09-09T01:41:04.477Z,,NOT_EXPORTED,,tb-v17s-a684c09d239ffb361e91f31ec9c,CANCELED
FIXED_210,1675ae6d-b65c-4107-b229-f75916449bca,PIEVERSEUSDT,2026-09-09T01:50:00.000Z,2026-09-09T01:51:13.087Z,,NOT_EXPORTED,2026-09-09T01:51:14.104Z,2026-09-09T01:51:14.575Z,471,2026-09-09T01:52:03.352Z,2026-09-09T01:52:03.914Z,49810,2026-09-09T01:54:03.837Z,2026-09-09T01:54:03.724Z,2026-09-09T01:54:03.332Z,2026-09-09T01:54:16.979Z,2026-09-09T01:54:16.979Z,,NOT_EXPORTED,1827657132,tb-v17s-facfd48753382b38440057259aa,FINISHED
FIXED_210,12fbf516-7e14-442d-b970-d8a4b09b23be,ETCUSDT,2026-09-09T02:05:00.000Z,2026-09-09T02:06:02.720Z,,NOT_EXPORTED,2026-09-09T02:06:03.510Z,2026-09-09T02:06:03.969Z,459,2026-09-09T02:07:03.189Z,2026-09-09T02:07:03.736Z,60226,2026-09-09T02:55:02.648Z,2026-09-09T02:55:02.536Z,2026-09-09T02:54:59.596Z,2026-09-09T02:55:04.473Z,2026-09-09T02:55:04.473Z,,NOT_EXPORTED,,tb-v17s-77f752990d10771e72509ac6e20,CANCELED
FIXED_210,256aa417-03a7-4d7a-a120-74a0802f03c1,KATUSDT,2026-09-09T03:15:00.000Z,2026-09-09T03:16:04.143Z,,NOT_EXPORTED,2026-09-09T03:16:05.001Z,2026-09-09T03:16:05.485Z,484,2026-09-09T03:17:03.386Z,2026-09-09T03:17:03.969Z,58968,2026-09-09T03:20:05.018Z,2026-09-09T03:20:04.906Z,2026-09-09T03:20:04.682Z,2026-09-09T03:20:20.745Z,2026-09-09T03:20:20.745Z,,NOT_EXPORTED,392076095,tb-v17s-c986536ed74e1e20c8dfab6460e,FINISHED
FIXED_210,0f675e44-1048-4413-9d0e-956187553ae8,PHAROSUSDT,2026-09-09T04:55:00.000Z,2026-09-09T04:56:02.886Z,,NOT_EXPORTED,2026-09-09T04:56:04.568Z,2026-09-09T04:56:05.045Z,477,2026-09-09T04:57:03.239Z,2026-09-09T04:57:03.797Z,59229,2026-09-09T05:03:02.477Z,2026-09-09T05:03:02.365Z,2026-09-09T05:03:00.866Z,2026-09-09T05:03:32.452Z,2026-09-09T05:03:32.452Z,,NOT_EXPORTED,175959667,tb-v17s-3219eb013b7e065f6d175354f93,FINISHED
FIXED_210,3a762261-6a75-49da-ae6c-acd557336658,RAYSOLUSDT,2026-09-09T05:05:00.000Z,2026-09-09T05:06:03.252Z,,NOT_EXPORTED,2026-09-09T05:06:04.776Z,2026-09-09T05:06:05.261Z,485,2026-09-09T05:07:03.276Z,2026-09-09T05:07:03.845Z,59069,2026-09-09T05:43:02.433Z,2026-09-09T05:43:02.322Z,2026-09-09T05:43:02.106Z,2026-09-09T05:43:38.102Z,2026-09-09T05:43:38.102Z,,NOT_EXPORTED,2352492514,tb-v17s-1782c20ab4dc42c8e3185eacc71,FINISHED
FIXED_210,bd5fd912-d1c4-4e2d-acee-5cffd3ca8174,RAYSOLUSDT,2026-09-09T05:50:00.000Z,2026-09-09T05:51:02.698Z,,NOT_EXPORTED,2026-09-09T05:51:03.292Z,2026-09-09T05:51:03.770Z,478,2026-09-09T05:52:03.171Z,2026-09-09T05:52:03.735Z,60443,2026-09-09T06:08:02.843Z,2026-09-09T06:08:02.730Z,2026-09-09T06:08:02.570Z,2026-09-09T06:08:44.364Z,2026-09-09T06:08:44.364Z,,NOT_EXPORTED,2352897343,tb-v17s-c4b9dc4bcc8a15158aae059a354,FINISHED
