market,ret24_pct,last_price,quote_volume_24h
NEWTUSDT,-5.041,0.0422,1567160
TUSDT,-5.039,0.003694,1866301
BREVUSDT,-5.014,0.07217,1179742
TURBOUSDT,-5.001,0.0009308,5477871
1000000MOGUSDT,-4.996,0.116,997011
VTHOUSDT,-4.964,0.0003561,1273182
INUSDT,-4.958,0.03201,1874351
ARIAUSDT,-4.95,0.02938,956455
JOEUSDT,-4.894,0.02973,1143542
STBLUSDT,-4.891,0.0245,2578091
LYNUSDT,-4.872,0.03222,1679150
1000LUNCUSDT,-4.865,0.05378,8905786
RESOLVUSDT,-4.837,0.0181,1067886
CETUSUSDT,-4.826,0.02564,1191621
STORJUSDT,-4.815,0.04033,3548035
ALTUSDT,-4.791,0.006319,2474462
SUIUSDT,-4.783,0.8042,316499123
THEUSDT,-4.774,0.06922,3200203
GOATUSDT,-4.759,0.01521,1978065
WOOUSDT,-4.742,0.01165,1243660
AWEUSDT,-4.709,0.06354,820095
OPGUSDT,-4.675,0.0938,2589901
METUSDT,-4.655,0.2212,9471319
GRTUSDT,-4.619,0.0159,4366809
RECALLUSDT,-4.606,0.05012,2587775
XLMUSDT,-4.604,0.19271,120451345
JASMYUSDT,-4.597,0.004213,4216033
LINEAUSDT,-4.574,0.002399,3034699
SUSDT,-4.566,0.02717,4253022
CTSIUSDT,-4.556,0.02556,1287072
EVAAUSDT,-4.553,0.7086,3245765
TNSRUSDT,-4.53,0.03414,1663341
BANANAUSDT,-4.527,3.902,1235098
DOLOUSDT,-4.524,0.02406,1261506
MEMEUSDT,-4.515,0.0005435,3787589
DIAUSDT,-4.494,0.1339,1537878
KSMUSDT,-4.49,3.574,2738914
AGLDUSDT,-4.428,0.1705,1293399
SCRUSDT,-4.416,0.02186,1772202
AGTUSDT,-4.394,0.015035,1078804
ARXUSDT,-4.387,0.1264,6080449
BIGTIMEUSDT,-4.386,0.00617,6918245
AXLUSDT,-4.38,0.04104,1099061
IOTXUSDT,-4.364,0.002783,1705950
STOUSDT,-4.276,0.04097,1721367
EDUUSDT,-4.238,0.03954,1833327
STRKUSDT,-4.229,0.02672,12359737
ILVUSDT,-4.215,3.25,1384607
ALGOUSDT,-4.212,0.09097,11756128
AUSDT,-4.21,0.07372,2661747
STABLEUSDT,-4.207,0.03051,3445930
ZEREBROUSDT,-4.201,0.038836,1482885
LUNA2USDT,-4.196,0.04726,2520434
SOPHUSDT,-4.195,0.0037,1378672
LAYERUSDT,-4.149,0.06745,2144017
TRUSTUSDT,-4.148,0.05199,1185207
ERAUSDT,-4.095,0.05902,3337892
BARDUSDT,-4.026,0.1168,1809265
HUSDT,-3.972,0.07181,9085923
BANANAS31USDT,-3.937,0.008808,2322216
SKLUSDT,-3.933,0.003786,1808578
ARKMUSDT,-3.92,0.1054,4185095
SKYAIUSDT,-3.92,0.06863,8143147
FRAXUSDT,-3.898,0.3008,782740
BRETTUSDT,-3.89,0.005189,3845163
PUNDIXUSDT,-3.886,0.08707,1186231
1MBABYDOGEUSDT,-3.87,0.0003701,2454378
WIFUSDT,-3.858,0.1944,34777235
SSVUSDT,-3.846,2.55,2767984
KNCUSDT,-3.846,0.1125,1247013
HUMAUSDT,-3.828,0.021305,2401329
APTUSDT,-3.825,0.616,38696307
METISUSDT,-3.805,2.68,1365619
TIAUSDT,-3.799,0.3697,25160461
WUSDT,-3.797,0.009146,3176043
MAGICUSDT,-3.774,0.04411,1502869
FLUXUSDT,-3.769,0.04468,978942
UMAUSDT,-3.764,0.3656,1169799
SOMIUSDT,-3.76,0.1075,1682804
PIPPINUSDT,-3.742,0.01852,5486393
VELODROMEUSDT,-3.722,0.01914,956918
CHILLGUYUSDT,-3.692,0.011503,1883173
GTCUSDT,-3.683,0.0842,1025601
CYBERUSDT,-3.674,0.3382,1395834
ZKCUSDT,-3.662,0.04104,1684206
ONDOUSDT,-3.657,0.3609,118169277
HYPERUSDT,-3.64,0.06618,2720730
AXSUSDT,-3.639,0.9692,8626385
SAPIENUSDT,-3.629,0.07727,1508643
API3USDT,-3.62,0.221,2216394
XTZUSDT,-3.617,0.2265,3290442
